customer_id,first_name,last_name,email,phone_number,address,city,state,zip_code,registration_date
051b51d1-e2fe-4bcd-a1fc-949e0a78b414,Michael,Callahan,wfields@example.com,001-991-782-5774,"00205 Logan Cape Christinafort, MT 61860",Joelmouth,Alaska,97481,2023-08-08
6479dada-ecc0-4876-992e-8efd61b9b3c4,Christopher,Berry,randall56@example.net,948-695-4816x134,"3362 Darrell Drives Gilesshire, ME 16563",Port Frank,Minnesota,61114,2020-03-09
a9669887-3703-4515-8eb0-938846fb1b5d,Mary,Salazar,mdavidson@example.com,590-778-7601,"0941 Maureen Forge Suite 710 Johnstad, WY 50317",Port Dennistown,Idaho,73764,2024-02-17
e064968d-ce19-4331-98a6-7992a88e94cf,Roger,Hardy,david36@example.org,001-798-577-8254x582,"57137 Diaz Well Lutzland, CT 80635",North Melissa,Washington,01107,2023-07-21
2ad73509-575e-4fa4-b014-a204691b2579,Alan,Christensen,gibsonsarah@example.net,(677)350-9556,"359 Campbell Trace Apt. 590 Williamschester, CA 20762",Gonzalezmouth,New Hampshire,24845,2023-11-10
7bd7a64f-85f9-4017-9e11-55f2a2672bea,Todd,Villegas,courtney79@example.com,889-790-5222x6069,"215 Blake Path Catherineport, MI 21170",Meadowsmouth,Delaware,59499,2024-04-17
e3aa5ee6-b53f-4dee-9905-22db99b67f00,Steven,Charles,cantumatthew@example.net,+1-335-560-7766x056,"0683 Melissa Springs Apt. 416 Abbottville, MN 96530",East Kiaraburgh,Connecticut,83892,2020-08-31
0a907461-61d1-4ad6-aab6-6cc91af35a20,Jessica,Moore,aarongrant@example.net,+1-620-752-9509x65904,"58886 Kevin Unions Chandlerhaven, FM 43783",Port William,Indiana,20930,2023-01-27
2aed62b4-c1f9-434f-9e4e-715b289c13b6,Sandra,Wilson,vasquezjacqueline@example.net,+1-617-377-5491x5777,"2082 Melissa Court Johnsonport, NM 30899",Peggyland,Maine,95851,2021-04-01
a1765ab2-dba1-4f7b-95ec-ae44436de43a,Laura,Barnes,melissagarcia@example.org,752.601.6005x35877,"380 Carr Run Walkerhaven, VI 65057",Lake Michael,Colorado,41105,2021-05-28
a7fa8b9a-737f-4008-af65-1bc4b676d7fd,Stephen,Rush,jay60@example.net,(685)879-5461x409,"06523 Jenny Locks Lake Jackview, WY 97817",Johnsonchester,New Mexico,23138,2024-08-03
6eb74b87-f629-44e2-9262-2eb7f3bece93,Christopher,Schmitt,tobrien@example.com,(369)795-7983x91406,"80991 Aguirre Lodge Suite 513 South Williamside, MN 86330",East Blake,Rhode Island,03650,2024-07-04
e221de95-63ee-4201-b579-3fc89516f363,Theresa,Cook,ygarrison@example.net,8398907132,"6257 John Port New Carlosborough, AR 46276",South Shelley,Delaware,09143,2023-03-17
96ae7284-9c0a-49c2-9fd9-749710495724,Jonathon,Higgins,stevengomez@example.com,+1-952-742-6715x18846,"3419 Serrano Estate West Erinburgh, RI 77968",Walterfurt,Vermont,47348,2022-08-25
1a72f1e6-365e-443f-8884-5bf3a382719d,Johnathan,Anderson,paula66@example.org,+1-693-420-2011,"7690 Michael Falls South Alexisview, NM 22633",East Tabithamouth,Rhode Island,37549,2020-02-14
44460eb0-a381-4287-83b7-448bbdabc9d9,Michelle,Diaz,markfox@example.org,289-290-0764x9986,"0350 Arias Center Apt. 776 Lake Holly, AZ 80706",South Branditown,Kansas,24067,2022-06-26
da864766-6498-438d-a1ac-bde1df246cd4,Steven,Meyer,christopher91@example.org,001-962-738-1003x785,"73564 Rebecca Ferry Suite 899 Glassstad, NM 95593",Martinmouth,North Dakota,34794,2020-07-28
